"","fit","lwr","upr"
"1",0.13391416620611,0.124176005851149,0.143652326561071
"2",0.135901501579235,0.126074359005283,0.145728644153188
"3",0.137482244199662,0.127632466293519,0.147332022105805
"4",0.138634195331573,0.128828929551129,0.148439461112017
"5",0.139341405969155,0.129647403028585,0.149035408909726
"6",0.13959440940902,0.130076837342272,0.149111981475768
"7",0.139390359296051,0.13011163664729,0.148669081944812
"8",0.138733071129676,0.129751726180416,0.147714416078936
"9",0.137632966625291,0.129002527947436,0.146263405303146
"10",0.136106921742182,0.12787484292948,0.144339000554885
"11",0.13417802059404,0.126384638798078,0.141971402390001
"12",0.131875218830596,0.124552742929309,0.139197694731884
"13",0.129232921399055,0.122404441966844,0.136061400831267
"14",0.126290480842485,0.119968992424863,0.132611969260106
"15",0.123091623451125,0.117279054270012,0.128904192632238
"16",0.119683811634617,0.114370075821953,0.124997547447281
"17",0.11611755181319,0.111279691605231,0.120955412021148
"18",0.112445657920325,0.108047254168094,0.116844061672556
"19",0.108722481256682,0.104713704093252,0.112731258420112
"20",0.10500311792574,0.101322039466674,0.108684196384807
"21",0.101342605408551,0.0979185301896041,0.104766680627498
"22",0.0977951199933274,0.0945543437565254,0.101035896230129
"23",0.0944131867631662,0.0912865198882625,0.0975398536380699
"24",0.0912469136620631,0.0881770118781961,0.0943168154459301
"25",0.0883432608082543,0.0852894999218647,0.091397021694644
"26",0.0857453557099481,0.0826851351931165,0.0888055762267797
"27",0.0834918643691404,0.0804187775176129,0.0865649512206679
"28",0.0816164274442373,0.0785364956952568,0.0846963591932178
"29",0.0801471696935037,0.0770741990360267,0.0832201403509806
"30",0.079106289852756,0.0760569228334312,0.0821556568720807
"31",0.0785097369278068,0.0754983773142621,0.0815210965413515
"32",0.0783669776220463,0.0754006062284632,0.0813333490156293
"33",0.0786808582905893,0.0757538780737474,0.0816078385074312
"34",0.0794475634340087,0.0765372470427589,0.0823578798252586
"35",0.0806566713369087,0.077720459577204,0.0835928830966133
"36",0.0822913060400026,0.0792676300272473,0.0853149820527579
"37",0.084328383429601,0.0811419496716562,0.0875148171875457
"38",0.0867389478559702,0.0833093262125623,0.090168569499378
"39",0.0894885943719075,0.0857391306795136,0.0932380580643014
"40",0.0925379704343451,0.0884023599807119,0.0966735808879782
"41",0.0958433497530415,0.091269079041238,0.100417620464845
"42",0.0993572699183572,0.0943066273156254,0.104407912521089
"43",0.103029224510062,0.0974789457898922,0.108579503230232
"44",0.106806399594675,0.100746732646505,0.112866066542844
"45",0.110634443871537,0.104068046666707,0.117200841076367
"46",0.114458261237167,0.107399099685464,0.12151742278887
"47",0.118222814210515,0.110695102565641,0.125750525855389
"48",0.121873926503369,0.113911103522833,0.129836749483904
"49",0.12535907303263,0.117002793522594,0.133715352542666
"50",0.128628145854303,0.119927268238152,0.137329023470455
"51",0.131634184850152,0.122643741097993,0.140624628602312
"52",0.13433406251197,0.125114203101654,0.143553921922286
"53",0.136689112837759,0.127304024959412,0.146074200716105
"54",0.138665695169113,0.129182496778724,0.148148893559503
"55",0.140235684747769,0.130723300350322,0.149748069145216
"56",0.141376882837909,0.131904909169838,0.150848856505981
"57",0.142073340433721,0.13271091164848,0.151435769218962
"58",0.142315590831815,0.133130253463351,0.151500928200279
"59",0.142100787677075,0.133157395606387,0.151044179747764
"60",0.14143274646893,0.13279238533642,0.15007310760144
"61",0.140321888922774,0.132040837838012,0.148602940007536
"62",0.138785090997895,0.130913826845156,0.146656355150633
"63",0.136845436807981,0.129427682678254,0.144263190937708
"64",0.134531882002767,0.127603695929837,0.141460068075698
"65",0.131878831529455,0.125467724289586,0.138289938769325
"66",0.128925637931114,0.123049698724754,0.134801577137473
"67",0.125716027497984,0.120383023940008,0.131049031055959
"68",0.122297462639705,0.11750386882118,0.127091056458229
"69",0.118720449776507,0.114450351838123,0.12299054771489
"70",0.115037802841871,0.111261661076484,0.118813944607259
"71",0.111303873136457,0.107977246254398,0.114630500018516
"72",0.107573756763745,0.104636438765798,0.110511074761691
"73",0.103902491204785,0.101279191663844,0.106525790745726
"74",0.100344252747791,0.0979487146496968,0.102739790845884
"75",0.0969515664758586,0.0946956129459026,0.0992075200058147
"76",0.0937745403329848,0.0915805187276268,0.0959685619383429
"77",0.0908601344374053,0.0886715296948617,0.0930487391799489
"78",0.0882514762973284,0.0860370598937428,0.0904658927009139
"79",0.0859872319147498,0.0837387058805474,0.0882357579489523
"80",0.084101041948076,0.0818271532423689,0.0863749306537832
"81",0.0826210311555717,0.0803407471335809,0.0849013151775625
"82",0.0815693982730532,0.0793051950161012,0.0838336015300053
"83",0.0809620923063333,0.0787333558874748,0.0831908287251918
"84",0.080808579958802,0.0786247751313188,0.0829923847862852
"85",0.0811117075855743,0.0789652524831777,0.0832581626879709
"86",0.081867659687223,0.0797275118209015,0.0840078075535445
"87",0.0830660145483522,0.0808747236642388,0.0852573054324656
"88",0.0846898962096753,0.0823675904364854,0.0870122019828652
"89",0.086716220557503,0.0841718324299952,0.0892606086850109
"90",0.0891160319421015,0.0862606956553162,0.0919713682288868
"91",0.0918549254162681,0.0886115849366861,0.0950982658958501
"92",0.0948935484369349,0.091201089711733,0.0985860071621367
"93",0.0981881747138606,0.094001865379907,0.102374484047814
"94",0.101691341837405,0.0969817215362756,0.106400962138535
"95",0.10535254338734,0.10010397748891,0.110601109285769
"96",0.109118965430182,0.103328308117282,0.114909622743081
"97",0.112936256665273,0.106611705094785,0.11926080823576
"98",0.116749320989132,0.109909419725687,0.123589222252578
"99",0.12050312092071,0.113175853643406,0.127830388198014
"100",0.124143480171793,0.116365395441602,0.131921564901984
"101",0.127617873659283,0.119433207508155,0.135802539810411
"102",0.130876193439185,0.122335965798769,0.139416421079602
"103",0.133871479393264,0.125032552355906,0.142710406430622
"104",0.136560604013311,0.127484697924739,0.145636510101882
"105",0.138904901297329,0.129657570398072,0.148152232196586
"106",0.140870730586913,0.131520303951168,0.150221157222658
"107",0.142429967123798,0.133046463432564,0.151813470815032
"108",0.143560412172167,0.134214438699756,0.152906385644578
"109",0.144246116726208,0.135007764003261,0.153484469449155
"110",0.144477614082531,0.135415358129979,0.153539870035084
"111",0.144252057886021,0.13543168173426,0.153072434037782
"112",0.143573263636105,0.135056809034841,0.152089718237368
"113",0.142451653048178,0.134296411753673,0.150606894342683
"114",0.140904102081528,0.133161653714693,0.148646550448363
"115",0.138953694849844,0.131668994765885,0.146238394933802
"116",0.136629387002859,0.129839902436037,0.143418871569681
"117",0.133965583487777,0.127700468704554,0.140230698270999
"118",0.131001636847664,0.125280927078608,0.136722346616721
"119",0.127781273372763,0.122615061491415,0.132947485254111
"120",0.124351955472714,0.11973949356866,0.128964417376767
"121",0.120764189567745,0.116692831231105,0.124835547904384
"122",0.117070789591339,0.113514670527108,0.12062690865557
"123",0.113326106844154,0.110244499742383,0.116407713945925
"124",0.109585237429671,0.106920752500696,0.112249722358646
"125",0.105903218828941,0.103580748518923,0.108225689138958
"126",0.102334227330175,0.100262968629146,0.104405486031204
"127",0.0989307880164725,0.0970126948131737,0.100848881219771
"128",0.0957430088318279,0.0938880890685364,0.0975979285951194
"129",0.0928178498944777,0.0909595383234234,0.094676161465532
"130",0.0901984387126299,0.0883004133907149,0.092096464034545
"131",0.0879234412882807,0.0859767631466784,0.0898701194298829
"132",0.0860264982798361,0.0840419368794272,0.088011059680245
"133",0.084535734445561,0.0825353990944937,0.0865360697966284
"134",0.0834733485212718,0.0814829715183353,0.0854637255242083
"135",0.0828552895127812,0.0808968994364573,0.084813679589105
"136",0.0826910241234791,0.0807753343859113,0.0846067138610469
"137",0.0829833987084807,0.0811016828168571,0.0848651146001043
